~id,~label,name:String,dosage:String
13697,treatment,massage helmet,"{'1x 15’': 6, '2x 15’': 99}"
13698,treatment,occupational therapy,{'1 session': 100}
13699,treatment,isolation tank,{'50min': 95}
13700,treatment,circadin,{'1 tabellet': 94}
13701,treatment,ibuprofen,"{'1 pill x2': 120, '200mg x2': 1, '4 x 200mg': 26, '1 x 400mg': 83, '3 pills': 3, '2 tablets': 75, '1': 2, '2 x 200.0 mg': 42, '400 mg ': 33, '2x600mg': 9, '1 x 800mg': 79, '1 x 600mg': 33, '1 pill ': 26, '1 pill x3': 7, '1 pill': 1, '1x800mg': 24, '400.0 mg': 6, '4 x 200 mg': 25, '3x 200mg': 11, '200.0 mg': 2, '4x 200mg': 1, '4 x 200.0 mg': 2, '500mg': 8, '500mg AM & PM': 1, '12 x 200mg': 1, '1 × 800mg': 84, '2 pills': 14, '2': 52, '1 ': 15, '2 x 800.0 mg': 2, '2 x 200mg': 1, '2x2': 13, '400': 8, '200': 36, '1 x 400 mg': 56, '800': 1, '600': 36, '1 x 200mg': 80, '2x 400mg': 45, '1x400mg': 244, '800 mg': 2, '1 800 mg caplet every 8 hrs': 3, '600mg 3x': 2, '400mg 4x a day': 20, '800.0 mg': 19, '2 x 600.0 mg': 5, '6 x 200mg': 5, '1 dose ': 2, '400mg': 4, '700mg': 1, '2x800mg': 1, '1 dose': 14, '800mg': 7, '2x 200mg': 1, '2 x 200 mg': 95, '1 x 800 mg': 17, '600 mg': 20, '4': 6, '200 mg': 2, '2400mg': 2, '4x 400mg': 1, '2 x 400mg': 21, '600.0 mg': 125, '1 tablet': 13, '200 mg × 2': 2, '1 pill x 4': 3, '4 pills ': 1, '6x200mg': 13, '2 pill': 1, '3 pills x 2': 1, '4 tablets': 1, '1 pill x4': 8, '2 x 800mg': 2, '1x800mg/2times': 3, '16 x 200': 3, '3x 600mg': 5, '3 x 800.0 mg': 9, '400 mg': 1, '5 x 200.0 mg': 3, '1-3 x 600mg': 5, '1 pill x6': 3, '400mg twice daily': 1, '2 x 400.0 mg': 9, '2 x 500mg': 1, '3x800mg': 4, '2 × 400mg': 2, '2 x 200mg x 4 times daily': 1, '2 a day': 1, '200mg ×2': 1, '3 x 200 mg': 2, '6 x 800 mg': 1, '3 × 200': 1, '3 x 200': 20, '2 × 800mg': 1, '600mg every 6 hours': 1, '6': 2, '4.0 pill': 1, '50mg': 1}"
13702,treatment,buprenorphine,"{'10mcg hour 24/7': 12, '52.5 micrograms/hour x 3 daily': 1, '1/2 tab': 1}"
13703,treatment,norflex,{'2 x 100mg': 7}
13704,treatment,cocodamol,"{'2 x 15/500mg': 10, '1 x 30/500': 8, '2 x 2 x 30/500mg': 22, '3 x 2 x 500/30': 2, '1 dose': 5, '2 when needed ': 3, '30/500 x 6': 19, '2x 30/500': 1, '2': 26, '2 pills x 2': 5, '30/500mg x2': 2, '2 x 30/500': 36, '4 x 8/500': 5, '8 x 8/500': 4, '2 x 8/500': 1, '6 x 15/500': 3, '8 x 30/500mg': 1, '1 x 8/500': 1, '3 x 8/500': 9, '2 × 30mg': 1, '1 x 15mg': 8, '2 pills x 1': 6, '3 x 2 pills': 7, '1 morning': 2, '2× 30/500': 3}"
13705,treatment,fish oil,{'2 capsules': 1}
13706,treatment,pepcid,{'1 pill ': 1}
13707,treatment,ibuprofen,{'2 pill': 2}
13708,treatment,ibuprofen,"{'2 pill': 1, '200mg x2': 1, '1 × 800mg': 3, '1 x 800mg': 1, '1 pill x 4': 15, '1x400mg': 1, '2 x 200 mg': 9, '2 tablets': 1}"
13709,treatment,nature-throid,"{'2.25 grain': 9, '1 grain': 7, '65 mg': 1, '97.5 mcg': 1}"
13710,treatment,pregnenolone,"{'15 mg': 9, '40 drops(20 mg)': 13, '30 drops(15 mg)': 1, '30 drops 15 mg': 2, '15 mg 30 drops': 3, '16 mg 32 drops': 7, '16.5 ml(33 drops)': 6, '8mg 16 drops': 1, '100 mg x 2': 2}"
13711,treatment,prednisone,"{'30 mg': 27, '4.0 mg': 1, '10 mg ': 65, '.10 mg': 10, '20 mg': 20, '20.0 mg': 16, '15.0 mg': 44, '10.0 mg': 5, '10 mg': 11, '1 x 10mg': 4, '10 ': 6, '1 × 10mg': 6, '15mg': 6, '1.5 x 20 mg': 3, '5 mg': 2, '20 mgs': 5, '17.5 mg': 3, '40 mg': 20, '11mg': 16, '05': 1, '07': 1, '15 mg': 7, '10mg': 1, '30mg': 2, '3 x 5mg': 1, '30.0 mg': 7, '2.5 mg': 48, '10 mg x 2': 2, '.5mg': 1, '1 x 5 mg': 5, '*50 mg premed*': 5, '20 MG ': 15, '9 mg': 4, '60.0 mg': 4, '.25': 7, '40.0 mg': 1, '2 x 10.0 mg': 1, '3.0 mg': 1, '5.0 mg': 12, '50': 1, '6 mg': 2, '06': 1, '300 mg': 8, '1x40mg': 3, '35 mg': 52, '30': 1, '12.5 mg': 25, '12.25 mg': 2, '10.25 mg': 6, '11.25 mg': 1, '20mg': 1, '5mg': 22, '8.5 mg': 1, '9mg': 1, '1 x 7.5mg': 5}"
13712,treatment,tramadol,"{'1 x 50mg': 19, '2.0 capsule': 1, '2 x 50.0 mg': 2, '1x50': 48, '4 x 50.0mg': 6, '3 x 50mg': 1, '50.0 mg': 12, '1x 50mg': 1, '37.5-325 x 2': 1, '37.5-325': 15, '1 × 50mg': 2, '1 x 50mg twice 2 x 50mg at bed time': 6}"
13713,treatment,voltarol,"{'1 Pill': 3, 'Knees': 16, 'Hips, Knees, Back': 2}"
13714,treatment,prestiq,"{'half dose': 5, 'Quarter Dose': 6}"
13715,treatment,nadolol,"{'20 mg': 14, '40mg': 1}"
13716,treatment,naratriptan,{'2.5 mg': 1}
13717,treatment,buspar,"{'20 mg x2 daily': 1, '45 mg': 7, '30 mg': 3}"
13718,treatment,cymbalta,"{'60 mg': 1, '1 x 60mg': 3, '1 x 20mg': 1, '1 x 30mg': 10, '60.0 mg': 3, '1 60 mg': 5, '120.0 mg': 21, '40 mg': 4, '2 x 60.0 mg': 2, '30 mg': 76, '2 x 20 mg': 34, '30.0 mg': 2, '1 x 60.0 mg': 1, '60mg evening': 1, '3 x 60.0 mg': 3}"
13719,treatment,lamictal,"{'50 mg': 21, '100 mg PM': 2, '50 mg qpm': 23, '400': 1, '100.0 mg': 2, '2 X 25mg': 13, '2 x 200mg': 1}"
13720,treatment,tylenol,"{'650 mgX2': 1, '1 x 500mg': 1, '500 mg': 1, '1/500mg': 8, '1000.0 mg': 1, '500.0 mg': 19, '1000 mg': 9, '500mg': 1, '5': 5, '2 500mg tablets twice a day': 1, '1 G var 4:de timma ': 2, '2 x 650 mg': 1, '2 pills': 19, '1000mg': 1, '1 gram': 2, '2 grams': 1, '2 grams total': 2, '1500mg *2': 1, '1 tablet': 1, '4': 1, '3x': 12, '2 tablets': 1, '2 x 250': 1, '250mg': 4, '2': 1}"
13721,treatment,wellbutrin xl,{'300mg': 2}
13722,treatment,clonazepam,"{'2mg bedtime': 1, '0.5 mg': 1, '.25': 1}"
13723,treatment,gabapentin,"{'300 mg bedtime': 1, '1100': 1, '3 × 600 mg': 1, '100mg 2x a day': 2, '1 100mg x 3': 11, '2 x 400 mg': 1}"
13724,treatment,naproxen,"{'500 mg prn': 1, '500mg': 4, '2 x 500 mg': 3, '2 x 250mg': 3}"
13725,treatment,omeprazole,"{'1x20mg': 1, '40.0 mg': 3, '40mg x2': 1, '1 x 20mg': 3, '1 x 10mg': 1, '1 pill': 1, '20mg': 2, '2 x 1 pill': 42}"
13726,treatment,zolpidem,{'10 mg nightly': 1}
13727,treatment,gabapentin,{'300 mg bedtime': 2}
13728,treatment,naproxen,"{'500 mg prn': 2, '1 ': 2, '1 x 500 mg': 4}"
13729,treatment,zolpidem,{'10 mg nightly': 2}
13730,treatment,clonazepam,{'2mg bedtime': 2}
13731,treatment,omeprazole,{'1x20mg': 2}
13732,treatment,gabapentin,"{'300 mg bedtime': 4, '3x300mg 3x daily': 1, '1 x 300mg': 7, '1x400 3 x day': 1, '4 x 300mg': 1, '1 x 600mg': 1, '3 x 1200mg ': 1, '3 x 400 mg': 1, '2 x 900 mg': 14, '600.0 mg': 1, '9 x 300mg': 2, '2 x 300mg 1 x 600mg': 2, '1 x 100mg': 2}"
13733,treatment,naproxen,"{'500 mg prn': 4, '375': 1, '1 x 250mg twice a day': 1, '500mg x 2': 1, '2 500MG': 4, '1 500mg morning': 3, '2 x 500mg': 1, '500.0 mg': 2, '1 tablet': 1, '1 x 500 mg': 1, '4 x 250 mg': 2}"
13734,treatment,omeprazole,"{'1x20mg': 4, '80.0mg': 1, '10mg': 1, '1 ': 1, '2': 1, '1 x 20mg': 18, '2 x 20.0 mg': 1, '40 mg': 1, '2 x 20mg': 9, '1 pill ': 1}"
13735,treatment,clonazepam,"{'2mg bedtime': 4, '1 mg x 2': 1, '0.5 mg': 5, '2mg': 1, '1 mg': 1}"
13736,treatment,zolpidem,{'10 mg nightly': 4}
13737,treatment,co-codamol,{'2 4x a day': 6}
13738,treatment,co-codamol,{'2 4x a day': 1}
13739,treatment,co-codamol,{'2 4x a day': 3}
13740,treatment,massage,{'1 hour': 1}
13741,treatment,magnesium,"{'1 tablet': 1, '2 x 200mg': 7, '500 mg ': 1, '1 x 500mg': 1, '1': 1, '2': 12, '1 x 930mg': 29, '0.6g': 2, '1 capsule': 1, '2 pills': 1, '3 pills': 1, '3 x 300mg': 2}"
13742,treatment,heat pack,"{'1 x 30 mins': 8, '1 hour': 5}"
13743,treatment,mersyndol forte,"{'2': 1, '30 mg': 8}"
13744,treatment,acyclovir,"{'400 Mg': 101, '200mg': 1}"
13745,treatment,augmentin,{'AM ONLY': 2}
13746,treatment,dexilant,{'AM ONLY': 2}
13747,treatment,magnesium,{'AM ONLY': 2}
13748,treatment,tylenol,{'2 at ER': 2}
13749,treatment,vitamin b complex,{'AM ONLY': 2}
13750,treatment,allergy meds,{'AM ONLY': 2}
13751,treatment,gabapentin,"{'100.0 mg': 13, '100 mg 3x': 22, '300mg 3 x a day ': 16, '300mg 3x/day': 16, '1 300mg 4x a day': 21, '3x300mg 3x daily': 163, '1 x 300mg': 111, '1x400 3 x day': 7, '1 x 200 mg': 15, '3x 300': 97, '800mg, daily': 1, '600 mg 4x day ': 1, '300.0 mg': 15, '900mg': 8, '3 x 600mg': 9, '2 x 800 mg': 14, '1000 mg': 2, '2x600mg': 2, '2 x 300mg': 32, '600.0 mg': 7, '1 x 100mg': 83, '2 x 100mg': 81, '2 x 300.0 mg': 27, '300mg x 2': 58, '1 300mg 2x daily': 30, '3 x 300mg': 67, '2 x 900 mg': 2, '2 tablets ': 7, '3 tablets': 24, '3 x 300 mg': 74, '600 mg x3': 10, '600mg 3 x daily': 2, '1x300mg 3x daily': 90, '1 600mg 3per day': 5, '300 mg Three times a Day': 146, '1 x 600mg': 13, '1 300mg 3x a day': 88, '2 x 400 mg': 3, '5 x 100mg': 21, '6 x 100mg': 47, '3x100': 1, '100x3': 1, '100mg 2x a day': 3, '900.0 mg': 2, '2 x 200mg': 3, '300mg Am, 300mg Noon, 600mg bedtime': 8, '1 x 600, 1 x 300': 5, '300 mg': 1, '3x 600mg': 11, '2 x 600 mg': 10, '3000mg': 1, '600 mg 3 x day ': 3, '1200 mg': 96, '4 x 300 mg': 68, '2 x 300 mg': 13, '1 x 300mg 4 times daily': 1, '3x600mg': 1, '5 x 300mg': 8, '1 pill at night': 8, '3 x 1200mg ': 1, '3 × 600 mg': 7, '3 x 400 mg': 12, '3 x 400mg': 133, '3 x 300': 3, '3×400mg': 3, '10 x 300mg': 1, '4 x 100mg': 9, '1 100mg x 3': 4, '300mg x 3': 3, '300mg tid': 1, '1 x 400mg': 6, '1 x 800mg 3x daily': 4, '200mg 3x': 2, '2400mg': 4, '1200mg 3x': 5, '300 mgs bd': 3, '4 x 600mg': 6, '2x300': 1, '400mg': 1, '900 mg': 1, '1500 mg': 18, '1800.0 mg': 51, '2100 mg': 2, '1800mg': 1, '1200mg': 2, '3 x 600mg twice daily': 5, '5x300mg': 2, '1x300mg': 1, '3 × 300mg': 7, '2 x 600mg': 4, '6 x 300mg': 2, '300mg x2 @bedtime': 1, '4 × 400mg': 3, '2 x 1200': 3, '900 mg 3x daily': 3, '4x800': 3, '3 x 800 mg': 2, '1 100mg afternoon 1 200mg': 1, '4 x 500': 2, '600mg 3 times daily': 1, '600 mg': 1, '2x300mg x3': 5, '3 300mg x 3 day': 16, '200.0 mg': 3, '3 x 200.0 mg': 3, '3 x 300.0 mg': 14, '200 mg': 1, '3 x 100mg': 1, '1x600': 1, '5×600mg': 2, '3 x 900 mg': 9, '300mgx2daily': 2, '1 x 100mg, 1 x 100mg': 4, '2 x 300': 2, '1x600mg 3 times a day ': 29, '3x400mg': 1, '100mg, 100mg, 300mg': 13, '600 1': 3, '600mg & 100mg': 4, '800 mg': 1, '1400 mg': 1, '3x 10mg': 1, '8 X 200 mg': 2, '600mg': 1, '2 x 300mg 1 x 600mg': 1}"
13752,treatment,zyrtec,"{'10.0 mg': 1, '5mg daily': 28, '10 mg': 78, '20 mg': 2, '10 mg ': 1, '2x10mg': 65, '1 tablet': 149, '1 pill ': 19, '.5 mg': 2, '50 mg': 1, '75mg': 2, '2 x 10mg': 2, '10ml': 1, '1 pill': 3}"
13753,treatment,albuterol,"{'2 puffs': 10, '1 puff': 1, '2.5 mg': 2}"
13754,treatment,alprazolam,{'0.25mg': 1}
13755,treatment,testosterone,{'2 mg': 1}
13756,treatment,ketotifen,{'2 x 2 mg': 1}
13757,treatment,magnesium,{'2 x 200 mg': 1}
13758,treatment,seraphos,{'3000 mg': 1}
13759,treatment,benadryl,"{'7 x 25 mg': 9, '6 x 25 mg': 3, '4 x 25mg': 1, '5 x 25mg': 1, '10 x 25mg': 1, '2 x 1 pill': 1, '25 mg ': 1, '100.0 mg': 12, '2 pills': 10, '125 mg ': 2, '50.0 mg': 217, '60ml': 3, '50 mg': 2, '25.0 mg': 4, '00,12': 1, '1030': 1, '0245': 1, '.25 x2': 1, '.25 x 3': 1, '3x25mg': 1, '25 mg': 2}"
13760,treatment,ketotifen,"{'2 x 2 mg': 15, '1mg bid': 1}"
13761,treatment,loratadine,"{'10 mg x 2': 14, '2x 10mg': 1, '2 x 10.0 mg': 57}"
13762,treatment,testosterone,{'2 mg': 2}
13763,treatment,low dose naltrexone,"{'4.5 mg': 15, '3.5': 7, '0.5 mg': 10, '1.0 mg': 1, '1.5 mg': 2}"
13764,treatment,cbd,"{'15 mg': 15, '500 mg': 1, '1 ml': 1}"
13765,treatment,coq10,"{'2 x 100 mg': 14, '100 mg': 1}"
13766,treatment,d-hist,"{'3 x 2caps': 12, '5 tab': 3}"
13767,treatment,electrolytes,"{'10 drops 2 potassium tabs': 1, '10 drops': 13, '1 sachet': 1, '3 tablets': 1, '1 tablet': 1, '1 bottle': 1}"
13768,treatment,heat on feet,"{'most of the day': 12, 'just in the morning': 2}"
13769,treatment,seraphos,{'3000 mg': 15}
13770,treatment,montelukast,"{'10 mg ': 7, '10 mg': 1, 'Daily Dose': 1, '1 x 10mg AM': 25, '10mg': 2}"
13771,treatment,humira,{'40.0 mg': 1}
13772,treatment,tens machine,{'20 mins': 6}
13773,treatment,neurofen,"{'1': 1, '2 ': 3, '2 tablets': 4}"
13774,treatment,neurofen,{'1': 9}
13775,treatment,antibiotics,{'1 a day': 1}
13776,treatment,gabapentin,"{'900': 17, '1200 mg': 2, '1200': 1, '6 x 100mg': 6, '1 x 300mg': 8, '1 x 600mg': 1, '6 x 300mg': 1, '3 x 300mg': 2, '1 x 100mg': 3, '3x 100mg': 1, '3 x 100 mg': 3}"
13777,treatment,ldn,"{'3 mg': 6, '3.75': 7, '4.5': 1, '4.5 mg': 1, '4.5mg 1 x daily': 5, '3.5': 4}"
13778,treatment,gabapentin,{'900': 2}
13779,treatment,ldn,{'3 mg': 2}
13780,treatment,gabapentin,{'1200 mg': 2}
13781,treatment,ldn,{'3.75': 2}
13782,treatment,flexaril,{'2 x 10mg': 1}
13783,treatment,gabapentin,"{'900': 1, '3 x 600mg': 2, '1 300mg 3x a day': 1, '400.0mg': 1}"
13784,treatment,ldn,{'3.75': 1}
13785,treatment,arnica,{'3 tabs': 1}
13786,treatment,fluoxitine,{'20mg': 1}
13787,treatment,vitamin d3,{'1 pill': 1}
13788,treatment,vitamin d3,"{'1 pill': 18, '1 5,000 IU softgel in the morning': 1, '2 pills': 2, '2000.0 IU': 21, '1000.0 IU': 7, '5000IU 1x Daily': 1, '1 X 5000 IU': 14, '15000': 3, '10000.0 IU': 14, '2 x 5000IU': 1, '1 capsule': 2, '1 x 5,000 iu': 19, '5,000 iu qpm': 23, '5000.0 IU': 4, '1 x 2000 IU': 8, '1 x 4000 IU': 3, '2000 IU': 6}"
13789,treatment,vitamin d3,"{'1 pill': 3, '3x2000iui': 1, '1000.0 IU': 1, '2000.0 IU': 24, '1 x 2000 IU': 2, '2 x 5000IU': 2}"
13790,treatment,epilim,{'1x 200mg': 1}
13791,treatment,sulfasalazine,{'4x 500mg': 2}
13792,treatment,tramadol,"{'0010': 1, '20mg er': 1}"
13793,treatment,naproxen,{'1 x 250mg twice a day': 1}
13794,treatment,paracetamol,{'1 x 500 mg': 1}
13795,treatment,celecoxib,{'1 x 100mg': 2}
13796,treatment,paracetamol,{'1 x 500 mg': 2}
13797,treatment,folic acid,"{'1 x 5mg': 23, '1 mg': 47, '1 mg AM': 3, '2 x 1.0 mg': 73, '1000 mcg': 14, '1mg': 6, '5 mg': 44, '1 mg/day': 71, '0.5mg': 1, '2 mg/day': 66, '5.0 mg': 20, '2.5mg': 5, '2mg': 13, '1 pill ': 1, '1.0 mg': 2, '1.0 capsule': 2}"
13798,treatment,leflunomide,"{'1 x 10 mg': 3, '1 x 20mg': 9, '1 x 10mg': 3}"
13799,treatment,plaquenil,"{'1 x 200 mg': 59, '1 1/2 tablets': 11, '300 mg PM': 3, '1 200mg x 2': 4, '2 tablets': 17, '2 x 200 mg': 24, '2x 200 mg': 16, '2 x 200.0 mg': 3, '300 mg': 1, '1 pill of 2': 4, '2 doses': 3, '400.0 mg': 5, '1 dose': 4, '2 of 2': 1, '100 mg': 2, '1 x 300mg': 2, '200mg': 1, '500 mg': 2, '2 pills': 1, '2 x 1 tablet 200 mg': 48}"
13800,treatment,prednisolone,"{'1 x 5mg': 6, '10': 1, '5 x 5mg': 12, '20mg': 1, '15mg': 7, '25mg': 10, '40mg': 1, '30 mg': 4, '2.5 mg': 2, '3mg': 3, '5mg': 6}"
13801,treatment,sulfasalazine,"{'1 x 500 mg': 3, '2000mg': 1, '5 x 500mg': 5, '1500 mg': 8, '1 pill 2x': 2, '1000 mg': 7, '2 x 500mg': 3, '2000.0 mg': 3, '1000 mg x2': 4}"
13802,treatment,lisdexamfetamine,{'1 X 50mg': 2}
13803,treatment,painkillers,{'treo': 1}
13804,treatment,painkillers,{'treo': 10}
13805,treatment,adderall,{'1 x 30mg': 1}
13806,treatment,caffeine,{'100 mg': 1}
13807,treatment,celebrex,{'1 x 200mg': 1}
13808,treatment,caffeine,{'100 mg': 2}
13809,treatment,adderall,{'1 x 30mg': 2}
13810,treatment,calcium,"{'1x 500mg': 1, '1.0 capsule': 3}"
13811,treatment,magnesium,"{'1x250mg': 2, '1 x 500mg': 2, '300MG 1x Daily': 78, '220MG': 82, '500 mg': 69, '500 mg PM': 2, '2 capsules': 15, '1': 210, '2': 17, '4': 1, '1 tablet': 109, '200.0 mg': 1, '250 mg': 2, '125mg': 1, '375 mg': 10, '500.0 mg': 1, '3 times a day ': 14, '500 mg ': 42, '400.0 mg': 13, '2x 500mg': 1, '1 ': 149, '1 tablett': 12, '3 tablets': 5, '150.0 mg': 6, '2 x 150.0 mg': 6, '3 x 150mg': 1, '0.25g': 30, '300.0 mg': 11, '.5': 14, 'foot bath': 3, 'spray': 39, '2 tablets ': 98, '160mg': 14}"
13812,treatment,vitamin b12,"{'1': 2, '2500 mcg': 5, '5 mg': 1, '1000 mcg': 3, '2': 1, '2000': 2, '1.0 tablet': 2, '1 pill ': 1, '1 capsule': 8, '1000.0 mcg': 7, '1500': 7}"
13813,treatment,zinc,"{'15mg': 1, '50mg': 16, '30 mg': 2, '22.0 mg': 13, '1 capsule': 1, '3 pills': 1}"
13814,treatment,cymbalta,{'60.0 mg': 1}
13815,treatment,levothyroxine,"{'100': 1, '100mg': 1, '1 X 50mg': 1}"
13816,treatment,ropinirole,{'1 mg': 1}
13817,treatment,topomax,{'100mg': 1}
13818,treatment,ketamine,{'100mg troche 10:50am': 1}
13819,treatment,lasix,{'20mg': 1}
13820,treatment,cymbalta,"{'1 60 mg': 2, '1 x 30mg': 1, '30 mg': 3, '30mg': 1, '60 mg': 2, '1 x 20mg': 1, '1 morning/ 1 night': 3, '1 x 60.0 mg': 12, '1x 30 mg': 2, '1 x 90mg': 2, '2 x 20 mg': 12}"
13821,treatment,tramadol,"{'150 mg': 1, '3x50mg': 1, '50mg Up To 8 A Day ': 1}"
13822,treatment,acetaminophen,{'30 ml': 1}
13823,treatment,topical cream,{'1': 1}
13824,treatment,cbd oil,{'10 drops': 1}
13825,treatment,acetaminophen,{'30 ml': 8}
13826,treatment,topical cream,{'1': 8}
13827,treatment,cbd oil,"{'10 drops': 8, '15 drops': 5}"
13828,treatment,heating pad,"{'3 x 1 hr': 1, '0': 6}"
13829,treatment,sleep,"{'6 - 8 hours': 1, '5 hrs +1 hr nap': 1}"
13830,treatment,aleeve,{'1 pill x 2 times a day': 1}
13831,treatment,sleep,{'6 - 8 hours': 1}
13832,treatment,cbd oil,"{'10 drops': 1, '.75ml': 1, '2 doses': 8, '1': 39, '2': 1}"
13833,treatment,heating pad,{'0': 3}
13834,treatment,acetaminophen,"{'30 ml': 1, '1000 mg': 2, '325 mg': 1}"
13835,treatment,sleep,"{'6 - 8 hours': 1, '14.0': 1, '7h': 1, 'afternoon nap 3h': 1, 'enough': 1, '7.5 hours broken': 2, '9hrs': 1}"
13836,treatment,heating pad,"{'0': 1, '1 hour': 2, '3 all day': 2}"
13837,treatment,cbd oil,"{'10 drops': 1, 'low': 2, 'high': 1, '1 dose': 1, '50mg': 1, '1 dropper 2x Daily': 2, '1 drop 2x day': 68}"
13838,treatment,sleep,"{'6 - 8 hours': 6, '2.5hrs': 1}"
13839,treatment,aleeve,{'1 pill x 2 times a day': 6}
13840,treatment,acetaminophen,{'30 ml': 4}
13841,treatment,topical cream,{'1': 4}
13842,treatment,cbd oil,{'10 drops': 4}
13843,treatment,sleep,{'6 - 8 hours': 4}
13844,treatment,heating pad,{'0': 4}
13845,treatment,aleeve,{'1 pill x 2 times a day': 4}
13846,treatment,mesalazine,"{'2x1.2mg': 1, '4.8g': 1, '240g': 1, '0': 7, '3600': 3, '2.0 g': 5, '4 x 1g': 51, '3g': 6, '4g': 7, '4800mg': 6, '3x 800mg': 3, '2400': 1, '6x 800m': 4, '2x 800': 1, '2x 1.2g': 19, '4x 1g': 4, '2x 2400 mg': 7, '1g': 1, '4 x 500': 2}"
13847,treatment,ranitidine,{'1-300mg@1x day': 1}
13848,treatment,spiriva,{'1-2.5mcg actuation': 1}
13849,treatment,suboxone,{'3/8mg-2mg@3x day': 1}
13850,treatment,crutches,{'all day': 1}
13851,treatment,iron,"{'1 pill ': 1, '1.0 tablet': 12, '2 x 1.0 tablet': 1, '1 pill': 2}"
13852,treatment,vitamin b-12,{'1 tablet': 1}
13853,treatment,iron,"{'1 pill ': 86, '2 x 65mg': 2, '18MG 1x Daily': 1, '305mg': 13, '28 mg': 30, '1.0 tablet': 2, '18 mg': 2}"
13854,treatment,advil,{'2': 1}
13855,treatment,fioricet,"{'2': 1, '4': 6, '1 tablet': 11, '1 pill ': 11}"
