~id, ~label, dosage:String
skin sensitivity,Condition,
heartburn,Condition,
viral hemorrhagic fevers,Condition,
tmj,Condition,
left wrist pain,Condition,
elhers danlos syndrome,Condition,
left arm pain,Condition,
chronic urticaria,Condition,
uticaria,Condition,
hyperthyroidism,Condition,
depressed,Condition,
pains,Condition,
partial seizures,Condition,
low blood pressure (hypotension),Condition,
sound sensitivity,Condition,
selective polysaccharide antibody deficiency,Condition,
shooting pain,Condition,
cervical stenosis ,Condition,
sle lupus,Condition,
angry,Condition,
motion sickness,Condition,
allergic rhinitis,Condition,
lumbar pain,Condition,
hashimotos thyroiditis,Condition,
mood swings,Condition,
swollen joints,Condition,
obesity,Condition,
eyestrain,Condition,
babesia,Condition,
menopause,Condition,
orthostatic hypotension (postural hypotension),Condition,
suicide and suicidal thoughts,Condition,
weakness,Condition,
amber urine,Condition,
gad,Condition,
autism spectrum disorder,Condition,
oral allergy syndrome,Condition,
emotional,Condition,
brainfog,Condition,
belching,Condition,
chronic hives (urticaria),Condition,
left knee pain,Condition,
autoinflammatory,Condition,
gender dysphoria,Condition,
parkinson's disease,Condition,
tennis elbow,Condition,
cushing syndrome,Condition,
gallstones,Condition,
vasovagal syncope,Condition,
itchy skin,Condition,
ulcerative,Condition,
severe general anxeity,Condition,
ebv,Condition,
osteoarthritis knee joint ,Condition,
psoriatic arthritis,Condition,
fibromyalgia pain,Condition,
period,Condition,
blurry vision,Condition,
movement disorders,Condition,
spondylolisthesis,Condition,
spondylarthrite ankylosante,Condition,
becker muscular dystrophy,Condition,
premenstrual dysphoric disorder,Condition,
ednos,Condition,
tingling & numb fingers/hands,Condition,
premenstrual syndrome (pms),Condition,
chiari malformation,Condition,
unknown,Condition,
bumps,Condition,
vaginitis,Condition,
relasping polychondritis ,Condition,
eating disorders,Condition,
right elbow pain,Condition,
stomach cramps,Condition,
menstrual cycle,Condition,
anemia,Condition,
whiplash,Condition,
lupus nephritis,Condition,
depressed state,Condition,
paroxysmal supraventricular tachycardia,Condition,
cyst,Condition,
good day,Condition,
fibroadenoma,Condition,
calf pain,Condition,
chronic abdominal pain,Condition,
dystopia,Condition,
nocturia,Condition,
hip pain,Condition,
back and neck pain,Condition,
undifferentiated connective tissue disease,Condition,
atypical depression,Condition,
sensory processing disorder,Condition,
obsessive-compulsive disorder,Condition,
mitral valve prolapse,Condition,
eating problems,Condition,
ptsd,Condition,
common variable immunodeficiency,Condition,
irritability,Condition,
social anxiety,Condition,
schizoid personality disorder,Condition,
dark triad,Condition,
apraxia,Condition,
distended abdomen,Condition,
lack of concentration,Condition,
varicose veins,Condition,
right side pain,Condition,
vermoeidheid,Condition,
adult add,Condition,
cerebral palsy,Condition,
carpal tunnel syndrome,Condition,
finger pain,Condition,
shakiness,Condition,
anxiety/stress,Condition,
pernicious anemia,Condition,
confusion,Condition,
sick,Condition,
panic disorder,Condition,
syncope,Condition,
generalized joint hypermobility spectrum disorder,Condition,
hurt to walk up stairs,Condition,
keratoconus,Condition,
shortness of breath,Condition,
iritis,Condition,
costochondritis,Condition,
rsd/crps,Condition,
heart,Condition,
aplastic anemia,Condition,
bone marrow transplant,Condition,
cold intolerance,Condition,
neuropathy,Condition,
lack of sleep,Condition,
itchy ears,Condition,
hypoglycemia,Condition,
chronic kidney stones,Condition,
pancreatic insufficiency,Condition,
eye pain,Condition,
mouth ulcers,Condition,
lightheadedness,Condition,
lightheaded,Condition,
tendonitis,Condition,
hayfever,Condition,
yeast infection (vaginal),Condition,
temporal lobe seizure,Condition,
severe fatigue,Condition,
clinical depression,Condition,
nerve pain,Condition,
type 1 diabetes,Condition,
autonomic neuropathy,Condition,
chronic daily migranes,Condition,
ovarian cysts,Condition,
inflammatory arthritis,Condition,
cerbral palsy,Condition,
exfoliative,Condition,
feet and hands burning up,Condition,
ocd,Condition,
bipolar 2 disorder ,Condition,
polymyalgia rheumatica,Condition,
foggy,Condition,
mononucleosis,Condition,
inappropriate sinus tachycardia,Condition,
high blood pressure,Condition,
charcot marie tooth,Condition,
burning eyes,Condition,
adenomyosis,Condition,
achy joints,Condition,
dermatitis,Condition,
toe walking,Condition,
mental overload,Condition,
extensor tendonitis,Condition,
diabetes,Condition,
coeliac disease,Condition,
abdominal discomfort,Condition,
muscle stiffness,Condition,
frustration,Condition,
autoimmune disease,Condition,
congenital heart defects,Condition,
middle back pain,Condition,
exhausted,Condition,
spinal headaches,Condition,
morgellons,Condition,
sinusitis fever,Condition,
use of foul language,Condition,
sinusitis headache,Condition,
watery stool,Condition,
sinusitis itching,Condition,
sore neck,Condition,
cervical issues,Condition,
hernia,Condition,
pelvic pain,Condition,
cold hands,Condition,
relapsing polychondritis,Condition,
skin irritation,Condition,
high blood pressure (hypertension),Condition,
insulin resistance,Condition,
sore joints,Condition,
emetophobia,Condition,
left leg pain,Condition,
neuropathic pain,Condition,
sleepy,Condition,
pms,Condition,
perennial stinging/biting,Condition,
skin lesions,Condition,
nonalcoholic fatty liver disease,Condition,
dyspraxia,Condition,
rosacea,Condition,
primary ciliary dyskinesia,Condition,
burnout / chronic exhaustion,Condition,
right ankle ,Condition,
nerve pain: neck,Condition,
centralized chronic pain,Condition,
left leg numbness,Condition,
ccm2,Condition,
aniexty,Condition,
eye floaters,Condition,
stiff person syndrome ,Condition,
stimming,Condition,
functional neurological disorder,Condition,
post traumatic stress disorder,Condition,
ears ringing,Condition,
felt great,Condition,
ffa head pain,Condition,
anaemia,Condition,
hashimotos,Condition,
ciguatera,Condition,
facial flushing,Condition,
intestinal swelling,Condition,
sleep,Condition,
hidradenitis suppurativa,Condition,
hashimotos disease,Condition,
klippel-trenaunay syndrome,Condition,
swollen hands,Condition,
ingrowing toenail pain,Condition,
loin pain hematuria syndrome,Condition,
oral thrush,Condition,
rotator cuff injury,Condition,
interrupted sleep,Condition,
very painful,Condition,
genital herpes,Condition,
topical steroid withdrawal,Condition,
cronic pain,Condition,
small intestinal bacterial overgrowth,Condition,
reynauds,Condition,
basilar migraine,Condition,
lower left abdominal pain,Condition,
edema,Condition,
enlarged spleen,Condition,
sleepiness,Condition,
vitamin b12 deficiency,Condition,
cancelled at an appropriate time,Condition,
cancelling w friends,Condition,
missing work,Condition,
wore compression socks,Condition,
sore throat,Condition,
lupus sle,Condition,
complicated grief,Condition,
ear infection (middle ear),Condition,
socializing ,Condition,
mental work - more than 3 hours,Condition,
exercise,Condition,
emotionally unstable personality disorder,Condition,
amenorrhea,Condition,
tinnitus,Condition,
breast cancer,Condition,
abdominal swelling,Condition,
trouble concentrating,Condition,
sweating and body odor,Condition,
memory loss,Condition,
laryngopharyngeal reflux,Condition,
stomach upset,Condition,
anorexia,Condition,
essential tremor,Condition,
bartonella,Condition,
sleep issues,Condition,
bv,Condition,
guttate psoriasis,Condition,
paranoia,Condition,
major stomach issues,Condition,
dandruff,Condition,
hsv1,Condition,
muscle soreness,Condition,
ovarian cyst pain,Condition,
overactive bladder,Condition,
mental fog,Condition,
itchy skin (pruritus),Condition,
autoimmune disorder,Condition,
benign faciculation syndrome (bfs),Condition,
chronic anxiety,Condition,
dizzy,Condition,
mood,Condition,
ampullary cancer,Condition,
me symptoms,Condition,
hand pain,Condition,
herniated disks,Condition,
brief acute abdominal pain,Condition,
low blood pressure side-effects,Condition,
reflux,Condition,
insomia,Condition,
sphincter of oddi dysfunction,Condition,
head pain,Condition,
stiff joints,Condition,
schizoaffective disorder,Condition,
stomach ache,Condition,
stage 4 ovarian cancer,Condition,
conjunctivitis,Condition,
puetz jeghers,Condition,
gluten intolerance,Condition,
hair loss,Condition,
hot flashes,Condition,
m.e,Condition,
right hip pain,Condition,
very active,Condition,
high cholesterol,Condition,
tethered cord syndrome,Condition,
severe rib and spinal dysfunction,Condition,
tendon pain,Condition,
lightning pain,Condition,
hands feel water as warm when arms feel cold,Condition,
tender skin,Condition,
heel pain ,Condition,
flulike,Condition,
squingl,Condition,
low mood,Condition,
nose skin soft,Condition,
leaky gut,Condition,
blepharitis,Condition,
iron deficiency anemia,Condition,
iih,Condition,
rash on arms,Condition,
digestion,Condition,
ovulation ,Condition,
tourette syndrome,Condition,
coughing,Condition,
menstrual pain,Condition,
right shoulder pain,Condition,
face itching,Condition,
tension headaches,Condition,
dilated cardiomyopathy,Condition,
mental fatigue,Condition,
dyspepsia,Condition,
fibro pain,Condition,
general pain,Condition,
neurological,Condition,
cyclic vomiting syndrome,Condition,
chronic gastritis,Condition,
trouble sleeping,Condition,
sinus headaches,Condition,
paralysis,Condition,
no appetite,Condition,
arthrtis,Condition,
histamine intolerance,Condition,
atopic dermatitis (eczema),Condition,
stomal hernia,Condition,
sleep anxiety,Condition,
decreased mood,Condition,
canker sore,Condition,
upper abdominal pain,Condition,
feeling full,Condition,
superior mesenteric artery syndrome,Condition,
ont under höger revben,Condition,
other joint pain,Condition,
benign prostatic hyperplasia (bph),Condition,
stomach issues,Condition,
vestibular migraine,Condition,
vasculitis,Condition,
right hand pain,Condition,
nmda encephalitis,Condition,
floating eye spots,Condition,
difficulty climbing stairs ,Condition,
itchiness,Condition,
small pain in most areas,Condition,
period pain,Condition,
fibromyalgie,Condition,
mcas,Condition,
sjogrens syndrome,Condition,
dry eyes,Condition,
osgood schlatter,Condition,
ezcema,Condition,
lung cancer pain,Condition,
nuetropenia ,Condition,
chronic nausea,Condition,
sinusite,Condition,
walking difficulty,Condition,
diziness,Condition,
ear ringing,Condition,
sharp abdomen pain,Condition,
borderline personality disorder,Condition,
hypopituitism,Condition,
sjorgens syndrome,Condition,
ovary pain,Condition,
physical fatigue,Condition,
mitochondrial myopathy,Condition,
sacral pain,Condition,
flank pain,Condition,
period cramps,Condition,
urinary frequency,Condition,
facial pain,Condition,
reactive hypoglycemia,Condition,
lower abdomen pain,Condition,
poor sleep,Condition,
lpr,Condition,
mild,Condition,
stiff person syndrom,Condition,
muscle spasms,Condition,
gi upset,Condition,
attention deficit disorder,Condition,
mind racing,Condition,
erythema nodosum,Condition,
vasculitis wegeners gpa,Condition,
auto immune disease,Condition,
blood in stool,Condition,
myasthenia gravis,Condition,
low grade fever,Condition,
chronic headaches,Condition,
dissociation,Condition,
bacterial vaginosis,Condition,
acne inversa,Condition,
mouth sores,Condition,
mania,Condition,
abscess pain,Condition,
nocturnal pruritus,Condition,
arm pit rash,Condition,
fistula pain,Condition,
bleeding ears,Condition,
right knee stiffness,Condition,
chrons disease,Condition,
numbness in feet,Condition,
colonic inertia,Condition,
vomiting,Condition,
heart murmurs,Condition,
superior canal dehiscence syndrome,Condition,
difficulty breathing,Condition,
left hand pain,Condition,
difficulty urinating,Condition,
tacacardia,Condition,
right shoulder injury,Condition,
pulmonary embolism,Condition,
leukemia,Condition,
gerds,Condition,
over active bladder,Condition,
occult spina bifida,Condition,
virus,Condition,
mold allergy,Condition,
mastocytosis,Condition,
trial,Condition,
cold hands & feet,Condition,
arm weakness,Condition,
dermatomyositis,Condition,
lymphodema,Condition,
digestive pain,Condition,
allergy,Condition,
vomitting,Condition,
nervousness,Condition,
menstruation,Condition,
sore muscles,Condition,
laryngitis,Condition,
sarcoidosis,Condition,
neck stiffness,Condition,
endome,Condition,
sticky joints,Condition,
heart disease,Condition,
impulsivity,Condition,
intense sharp pain pelvic floor,Condition,
palindromic rheumatism,Condition,
neurocardiogenic syncope,Condition,
chronic multisymptom illness,Condition,
low hgh,Condition,
muscle cramp,Condition,
heat from hands,Condition,
reactive arthritis,Condition,
stressed,Condition,
binge-eating disorder,Condition,
shoulder impingement,Condition,
seasonal affective disorder (sad),Condition,
upper left abdominal pain,Condition,
spasticity,Condition,
cognitive impairment,Condition,
idiopathic intracranial hypertension,Condition,
low immunity,Condition,
tailbone pain,Condition,
incomplete spinal cord injury,Condition,
flare,Condition,
leg pain/numbness,Condition,
overall joint,Condition,
major somnolence,Condition,
pneumonia,Condition,
lung cancer,Condition,
poop cramps,Condition,
heel spurs,Condition,
ibs/sibo,Condition,
endo pain/ache/twinges,Condition,
sibo/leaky gut,Condition,
achy,Condition,
chronic upper back pain ,Condition,
apathy,Condition,
sleep paralysis,Condition,
unknown lower limb neurology condition,Condition,
pcos,Condition,
inflammatory myositis,Condition,
oesophagitis,Condition,
morning sickness,Condition,
visual snow,Condition,
von willebrand disease,Condition,
upset stomach,Condition,
arm tremor,Condition,
nasal congestion,Condition,
dissociative disorders,Condition,
spina bifida occulta,Condition,
stroke,Condition,
sweets syndrome,Condition,
huvs,Condition,
hemorrhoids,Condition,
lyme and co,Condition,
stomach spasms,Condition,
stomach ulcers,Condition,
spondylosis,Condition,
aching joints,Condition,
brain,Condition,
non-epileptic seizures,Condition,
blodnose,Condition,
antisynthetase syndrome,Condition,
cold sore,Condition,
joint stiffness,Condition,
epstein-barr virus,Condition,
sadness,Condition,
trapped nerve,Condition,
vitilligo,Condition,
rheumatism,Condition,
malaise,Condition,
cidp,Condition,
chronic inflammatory demylenating polyneuropathy,Condition,
transverse myelitis,Condition,
mystery,Condition,
polymyositis,Condition,
no sleep,Condition,
hirschsprung's disease,Condition,
urticarial vasculitis,Condition,
drug addiction,Condition,
hypermobility syndrome,Condition,
right wrist pain,Condition,
peripheral nerve injuries,Condition,
sacroiliac joint dysfunction,Condition,
lichen sclerosus,Condition,
persistent depressive disorder,Condition,
chronic stomach pain ,Condition,
periodontis,Condition,
chronic lower back pain,Condition,
pre diabetes,Condition,
shin splints,Condition,
alpha wave intrusion,Condition,
alpha wave intrusion vivid dreams,Condition,
painful joints ,Condition,
bronchitis,Condition,
chronic kidney disease,Condition,
iga nephropathy (berger's disease),Condition,
broken ankle/broken foot,Condition,
cfs/me,Condition,
cytomegalovirus (cmv) infection,Condition,
called off work,Condition,
hopelessness,Condition,
vague,Condition,
stomach aches,Condition,
post nasal drip,Condition,
urogynae,Condition,
complex post traumatic stress disorder,Condition,
pharyngolaryngeal reflux,Condition,
heart flutters,Condition,
lack of appetite,Condition,
hypermobile ehlers-danlos ,Condition,
r side pain,Condition,
epstein barr,Condition,
pain level 9-10,Condition,
ips,Condition,
cervical radiculopathy,Condition,
cognitive dysfunction,Condition,
tingling feet,Condition,
brain don’t work,Condition,
myelodysplastic syndrome,Condition,
heart failure,Condition,
small vessel disease,Condition,
wide spread pain,Condition,
multiple chemical sensitivity,Condition,
heart pain,Condition,
whole body pain,Condition,
back of neck,Condition,
left shoulder pain,Condition,
premature ventricular contractions,Condition,
rash at injection sites,Condition,
spine pain,Condition,
cervical arthritis ,Condition,
depression and anxiety,Condition,
gallbladder ,Condition,
zoladex treatment,Condition,
osteomalacia,Condition,
chronic cough,Condition,
encephalopathy,Condition,
mental confusion,Condition,
drained,Condition,
weight gain,Condition,
loose stool,Condition,
mid back pain,Condition,
numb face,Condition,
trigger finger,Condition,
rt foot pain,Condition,
right toe ,Condition,
left toe,Condition,
hours slept,Condition,
cauda equina syndrome,Condition,
chronic regional pain syndrome,Condition,
schizotypal personality disorder,Condition,
bronchiectasis,Condition,
food intolerances,Condition,
visceral hyperalgesia,Condition,
balance problems,Condition,
esophageal reflux,Condition,
juvenile fibromyalgia,Condition,
mast cell/histamine dysregulation,Condition,
mental health,Condition,
hemifacial spasm,Condition,
endomitriosis,Condition,
irregular heartbeat,Condition,
chronic pain- nerve pain ,Condition,
cramps,Condition,
neck tightness,Condition,
face numbness,Condition,
anorexia nervosa,Condition,
muscle pain thiges,Condition,
myofascial pain syndrome,Condition,
post-concussion syndrome,Condition,
mechanical back pain,Condition,
hidradentitis suppuritiva,Condition,
depression/anxiety/ptsd,Condition,
dyskinesia,Condition,
akathisia,Condition,
epiploc appendigitis,Condition,
anterior prolapse (cystocele),Condition,
posterior prolapse (rectocele),Condition,
effexor withdrawal,Condition,
neck/back pain,Condition,
autoimmunity,Condition,
obsessive compulsive personality disorder,Condition,
salicylate intolerance,Condition,
muckle wells syndrome,Condition,
cholitis,Condition,
excessive daytime sleepiness,Condition,
seborrheic dermatitis,Condition,
p.o.t.s,Condition,
morton’s neuroma,Condition,
hormonal issues,Condition,
me,Condition,
infection,Condition,
visual aura,Condition,
prostatitis,Condition,
generalised anxiety disorder,Condition,
heart attack feeling,Condition,
burning sensation,Condition,
stabbing pain ,Condition,
bone pain,Condition,
lyme-arthritis,Condition,
chronic stress,Condition,
arm numbness,Condition,
breast pain,Condition,
fibromialgia ,Condition,
sensitivity to sun,Condition,
back spasm,Condition,
thigh pain,Condition,
perioral dermatitis,Condition,
bebesia,Condition,
depressive mood,Condition,
burning feet,Condition,
benign paroxysmal positional vertigo,Condition,
cavernous malformations,Condition,
gut issues,Condition,
elbow pain,Condition,
toe pain,Condition,
cramping,Condition,
overwhelmed,Condition,
behcets,Condition,
pineal cyst,Condition,
cervicogenic headache,Condition,
humiliation,Condition,
depersonalization-derealization disorder,Condition,
syringomyelia,Condition,
eye pain headache,Condition,
chronic shoulder pain,Condition,
leg cramps,Condition,
tooth extraction ,Condition,
tension headache,Condition,
muscle spams ,Condition,
overall,Condition,
myalgias,Condition,
loose stool ,Condition,
fainting,Condition,
bad sleep,Condition,
athritis,Condition,
gastroperesis,Condition,
undiagnosed pain,Condition,
fahrs disease,Condition,
low iron,Condition,
systemic auto inflammatory disease,Condition,
neck tension,Condition,
stomach problems,Condition,
feeling sick,Condition,
axd,Condition,
heavy limbs,Condition,
neck shoulder back pain,Condition,
polycystic ovaries,Condition,
carpel tunnel,Condition,
protoporphyria,Condition,
chronic widespread pain,Condition,
postural orthostatic tachycardia,Condition,
gastrointestinal distress,Condition,
gord,Condition,
jitter,Condition,
chest shivering,Condition,
concussion,Condition,
hypereosinophilic syndrome,Condition,
orthostatic hypotension,Condition,
heart valve disease,Condition,
paraneoplastic syndromes of the nervous system,Condition,
azoor,Condition,
narcolepsy w/cataplexy,Condition,
narcolepsy with cataplexy,Condition,
sleep: insomnia,Condition,
arthritis in hands/wrists,Condition,
degenerative joint disease,Condition,
chronic insomnia,Condition,
crmo,Condition,
"fibromyalgia, chronic fatigue syndrome and chronic widespread pain ",Condition,
fibrom,Condition,
stiff neck,Condition,
chronic generalized pain,Condition,
cervical spine pain,Condition,
tingling legs,Condition,
morning dread,Condition,
aches and pains,Condition,
head sensations,Condition,
muscular dystrophy,Condition,
mineral and vitamin deficiency,Condition,
yellow teeth,Condition,
sinus pain,Condition,
eye swelling,Condition,
bladder/ urethral symptoms,Condition,
shingles,Condition,
urinary tract infection,Condition,
pain from arthritis in tailbone,Condition,
slept late,Condition,
